Movie_ID,Title,Genre_ID
1,Avatar,1
1,Avatar,2
1,Avatar,10
1,Avatar,18
2,Pirates of the Caribbean: At World's End,1
2,Pirates of the Caribbean: At World's End,2
2,Pirates of the Caribbean: At World's End,10
3,Spectre,1
3,Spectre,2
3,Spectre,20
4,The Dark Knight Rises,1
4,The Dark Knight Rises,20
5,John Carter,1
5,John Carter,2
5,John Carter,18
6,Spider-Man 3,1
6,Spider-Man 3,2
6,Spider-Man 3,17
7,Tangled,2
7,Tangled,3
7,Tangled,5
7,Tangled,9
7,Tangled,10
7,Tangled,15
7,Tangled,17
8,Avengers: Age of Ultron,1
8,Avengers: Age of Ultron,2
8,Avengers: Age of Ultron,18
9,Harry Potter and the Half-Blood Prince,2
9,Harry Potter and the Half-Blood Prince,9
9,Harry Potter and the Half-Blood Prince,10
9,Harry Potter and the Half-Blood Prince,16
10,Batman v Superman: Dawn of Justice,1
10,Batman v Superman: Dawn of Justice,2
10,Batman v Superman: Dawn of Justice,18
11,Superman Returns,1
11,Superman Returns,2
11,Superman Returns,18
12,Quantum of Solace,1
12,Quantum of Solace,2
13,Pirates of the Caribbean: Dead Man's Chest,1
13,Pirates of the Caribbean: Dead Man's Chest,2
13,Pirates of the Caribbean: Dead Man's Chest,10
14,The Lone Ranger,1
14,The Lone Ranger,2
14,The Lone Ranger,22
15,Man of Steel,1
15,Man of Steel,2
15,Man of Steel,10
15,Man of Steel,18
16,The Chronicles of Narnia: Prince Caspian,1
16,The Chronicles of Narnia: Prince Caspian,2
16,The Chronicles of Narnia: Prince Caspian,9
16,The Chronicles of Narnia: Prince Caspian,10
17,The Avengers,1
17,The Avengers,2
17,The Avengers,18
18,Pirates of the Caribbean: On Stranger Tides,1
18,Pirates of the Caribbean: On Stranger Tides,2
18,Pirates of the Caribbean: On Stranger Tides,10
19,Men in Black 3,1
19,Men in Black 3,2
19,Men in Black 3,5
19,Men in Black 3,9
19,Men in Black 3,10
19,Men in Black 3,18
20,The Hobbit: The Battle of the Five Armies,2
20,The Hobbit: The Battle of the Five Armies,10
21,The Amazing Spider-Man,1
21,The Amazing Spider-Man,2
21,The Amazing Spider-Man,10
