Movie_ID,Title,Year,Duration,Language,Country,Content_rating,Imdb_Score,Budget,Gross,Profit,Director_Name
1,Avatar,2009,178,English,USA,PG-13,7.9,237000000.0,760505847.0,523505847.0,James Cameron
2,Pirates of the Caribbean: At World's End,2007,169,English,USA,PG-13,7.1,300000000.0,309404152.0,9404152.0,Gore Verbinski
3,Spectre,2015,148,English,UK,PG-13,6.8,245000000.0,200074175.0,-44925825.0,Sam Mendes
4,The Dark Knight Rises,2012,164,English,USA,PG-13,8.5,250000000.0,448130642.0,198130642.0,Christopher Nolan
5,John Carter,2012,132,English,USA,PG-13,6.6,263700000.0,73058679.0,-190641321.0,Andrew Stanton
6,Spider-Man 3,2007,156,English,USA,PG-13,6.2,258000000.0,336530303.0,78530303.0,Sam Raimi
7,Tangled,2010,100,English,USA,PG,7.8,260000000.0,200807262.0,-59192738.0,Nathan Greno
8,Avengers: Age of Ultron,2015,141,English,USA,PG-13,7.5,250000000.0,458991599.0,208991599.0,Joss Whedon
9,Harry Potter and the Half-Blood Prince,2009,153,English,UK,PG,7.5,250000000.0,301956980.0,51956980.0,David Yates
10,Batman v Superman: Dawn of Justice,2016,183,English,USA,PG-13,6.9,250000000.0,330249062.0,80249062.0,Zack Snyder
11,Superman Returns,2006,169,English,USA,PG-13,6.1,209000000.0,200069408.0,-8930592.0,Bryan Singer
12,Quantum of Solace,2008,106,English,UK,PG-13,6.7,200000000.0,168368427.0,-31631573.0,Marc Forster
13,Pirates of the Caribbean: Dead Man's Chest,2006,151,English,USA,PG-13,7.3,225000000.0,423032628.0,198032628.0,Gore Verbinski
14,The Lone Ranger,2013,150,English,USA,PG-13,6.5,215000000.0,89289910.0,-125710090.0,Gore Verbinski
15,Man of Steel,2013,143,English,USA,PG-13,7.2,225000000.0,291021565.0,66021565.0,Zack Snyder
16,The Chronicles of Narnia: Prince Caspian,2008,150,English,USA,PG,6.6,225000000.0,141614023.0,-83385977.0,Andrew Adamson
17,The Avengers,2012,173,English,USA,PG-13,8.1,220000000.0,623279547.0,403279547.0,Joss Whedon
18,Pirates of the Caribbean: On Stranger Tides,2011,136,English,USA,PG-13,6.7,250000000.0,241063875.0,-8936125.0,Rob Marshall
19,Men in Black 3,2012,106,English,USA,PG-13,6.8,225000000.0,179020854.0,-45979146.0,Barry Sonnenfeld
20,The Hobbit: The Battle of the Five Armies,2014,164,English,New Zealand,PG-13,7.5,250000000.0,255108370.0,5108370.0,Peter Jackson
21,The Amazing Spider-Man,2012,153,English,USA,PG-13,7.0,230000000.0,262030663.0,32030663.0,Marc Webb
22,Robin Hood,2010,156,English,USA,PG-13,6.7,200000000.0,105219735.0,-94780265.0,Ridley Scott
23,The Hobbit: The Desolation of Smaug,2013,186,English,USA,PG-13,7.9,225000000.0,258355354.0,33355354.0,Peter Jackson
24,The Golden Compass,2007,113,English,USA,PG-13,6.1,180000000.0,70083519.0,-109916481.0,Chris Weitz
25,King Kong,2005,201,English,New Zealand,PG-13,7.2,207000000.0,218051260.0,11051260.0,Peter Jackson
26,Titanic,1997,194,English,USA,PG-13,7.7,200000000.0,658672302.0,458672302.0,James Cameron
27,Captain America: Civil War,2016,147,English,USA,PG-13,8.2,250000000.0,407197282.0,157197282.0,Anthony Russo
28,Battleship,2012,131,English,USA,PG-13,5.9,209000000.0,65173160.0,-143826840.0,Peter Berg
29,Jurassic World,2015,124,English,USA,PG-13,7.0,150000000.0,652177271.0,502177271.0,Colin Trevorrow
30,Skyfall,2012,143,English,UK,PG-13,7.8,200000000.0,304360277.0,104360277.0,Sam Mendes
31,Spider-Man 2,2004,135,English,USA,PG-13,7.3,200000000.0,373377893.0,173377893.0,Sam Raimi
32,Iron Man 3,2013,195,English,USA,PG-13,7.2,200000000.0,408992272.0,208992272.0,Shane Black
33,Alice in Wonderland,2010,108,English,USA,PG,6.5,200000000.0,334185206.0,134185206.0,Tim Burton
34,X-Men: The Last Stand,2006,104,English,Canada,PG-13,6.8,210000000.0,234360014.0,24360014.0,Brett Ratner
35,Monsters University,2013,104,English,USA,G,7.3,200000000.0,268488329.0,68488329.0,Dan Scanlon
36,Transformers: Revenge of the Fallen,2009,150,English,USA,PG-13,6.0,200000000.0,402076689.0,202076689.0,Michael Bay
37,Transformers: Age of Extinction,2014,165,English,USA,PG-13,5.7,210000000.0,245428137.0,35428137.0,Michael Bay
38,Oz the Great and Powerful,2013,130,English,USA,PG,6.4,215000000.0,234903076.0,19903076.0,Sam Raimi
39,The Amazing Spider-Man 2,2014,142,English,USA,PG-13,6.7,200000000.0,202853933.0,2853933.0,Marc Webb
40,TRON: Legacy,2010,125,English,USA,PG,6.8,170000000.0,172051787.0,2051787.0,Joseph Kosinski
41,Cars 2,2011,106,English,USA,G,6.3,200000000.0,191450875.0,-8549125.0,John Lasseter
42,Green Lantern,2011,123,English,USA,PG-13,5.6,200000000.0,116593191.0,-83406809.0,Martin Campbell
43,Toy Story 3,2010,103,English,USA,G,8.3,200000000.0,414984497.0,214984497.0,Lee Unkrich
44,Terminator Salvation,2009,118,English,USA,PG-13,6.6,200000000.0,125320003.0,-74679997.0,McG
45,Furious 7,2015,140,English,USA,PG-13,7.2,190000000.0,350034110.0,160034110.0,James Wan
46,World War Z,2013,123,English,USA,PG-13,7.0,190000000.0,202351611.0,12351611.0,Marc Forster
47,X-Men: Days of Future Past,2014,149,English,USA,PG-13,8.0,200000000.0,233914986.0,33914986.0,Bryan Singer
48,Star Trek Into Darkness,2013,132,English,USA,PG-13,7.8,190000000.0,228756232.0,38756232.0,J.J. Abrams
49,Jack the Giant Slayer,2013,114,English,USA,PG-13,6.3,195000000.0,65171860.0,-129828140.0,Bryan Singer
50,The Great Gatsby,2013,143,English,Australia,PG-13,7.3,105000000.0,144812796.0,39812796.0,Baz Luhrmann
51,Prince of Persia: The Sands of Time,2010,116,English,USA,PG-13,6.6,200000000.0,90755643.0,-109244357.0,Mike Newell
52,Pacific Rim,2013,131,English,USA,PG-13,7.0,190000000.0,101785482.0,-88214518.0,Guillermo del Toro
53,Transformers: Dark of the Moon,2011,154,English,USA,PG-13,6.3,195000000.0,352358779.0,157358779.0,Michael Bay
54,Indiana Jones and the Kingdom of the Crystal Skull,2008,122,English,USA,PG-13,6.2,185000000.0,317011114.0,132011114.0,Steven Spielberg
55,Brave,2012,93,English,USA,PG,7.2,185000000.0,237282182.0,52282182.0,Mark Andrews
56,Star Trek Beyond,2016,122,English,USA,PG-13,7.5,185000000.0,130468626.0,-54531374.0,Justin Lin
57,WALL·E,2008,98,English,USA,G,8.4,180000000.0,223806889.0,43806889.0,Andrew Stanton
58,Rush Hour 3,2007,91,English,USA,PG-13,6.2,140000000.0,140080850.0,80850.0,Brett Ratner
59,2012,2009,158,English,USA,PG-13,5.8,200000000.0,166112167.0,-33887833.0,Roland Emmerich
60,A Christmas Carol,2009,96,English,USA,PG,6.8,200000000.0,137850096.0,-62149904.0,Robert Zemeckis
61,Jupiter Ascending,2015,127,English,USA,PG-13,5.4,176000000.0,47375327.0,-128624673.0,Lana Wachowski
62,The Legend of Tarzan,2016,110,English,USA,PG-13,6.6,180000000.0,124051759.0,-55948241.0,David Yates
63,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,150,English,USA,PG,6.9,180000000.0,291709845.0,111709845.0,Andrew Adamson
64,X-Men: Apocalypse,2016,144,English,USA,PG-13,7.3,178000000.0,154985087.0,-23014913.0,Bryan Singer
65,The Dark Knight,2008,152,English,USA,PG-13,9.0,185000000.0,533316061.0,348316061.0,Christopher Nolan
66,Up,2009,96,English,USA,PG,8.3,175000000.0,292979556.0,117979556.0,Pete Docter
67,Monsters vs. Aliens,2009,94,English,USA,PG,6.5,175000000.0,198332128.0,23332128.0,Rob Letterman
68,Iron Man,2008,126,English,USA,PG-13,7.9,140000000.0,318298180.0,178298180.0,Jon Favreau
69,Hugo,2011,126,English,USA,PG,7.5,170000000.0,73820094.0,-96179906.0,Martin Scorsese
70,Wild Wild West,1999,106,English,USA,PG-13,4.8,170000000.0,113745408.0,-56254592.0,Barry Sonnenfeld
71,The Mummy: Tomb of the Dragon Emperor,2008,112,English,USA,PG-13,5.2,145000000.0,102176165.0,-42823835.0,Rob Cohen
72,Suicide Squad,2016,123,English,USA,PG-13,6.9,175000000.0,161087183.0,-13912817.0,David Ayer
73,Evan Almighty,2007,96,English,USA,PG,5.4,175000000.0,100289690.0,-74710310.0,Tom Shadyac
